Type,Name
Service/Service Learning,Canterbury House
Environmental,Canterbury House
Gender/Sexuality,Canterbury House
Graduate/Professional,Capital Consulting Group
Service/Service Learning,Capital Consulting Group
Business & Entrepreneurship,Capital Consulting Group
Cultural/Ethnic,Caribbean Student Association
Service/Service Learning,Caribbean Student Association
Creative & Performing Arts,Carillon Guild at the University of Michigan
Health & Wellness,Caring for Cambodia at the University of Michigan
Service/Service Learning,Caring for Cambodia at the University of Michigan
Activism,Caring for Communities of Color Conference
Cultural/Ethnic,Caring for Communities of Color Conference
Graduate/Professional,Caring for Communities of Color Conference
Health & Wellness,Caring for Communities of Color Conference
Service/Service Learning,Caring for Communities of Color Conference
Health & Wellness,Casual Gaming Club
Service/Service Learning,Casual Gaming Club
Sport Clubs & Recreation,Casual Gaming Club
Science/Technology/Engineering,cataLIST: Ladies in Science & Technology
Graduate/Professional,cataLIST: Ladies in Science & Technology
Religious/Spiritual,Catholic Campus Community
Graduate/Professional,Catholic Law Students Association
Religious/Spiritual,Catholic Law Students Association
Service/Service Learning,Catholic Law Students Association
Religious/Spiritual,Catholic Student Evangelization
Department,Center for Campus Involvement
Academic/Honor Societies,Center for Research Support
Science/Technology/Engineering,Center for Research Support
Graduate/Professional,Center for Research Support
Service/Service Learning,Center for Research Support
Cultural/Ethnic,Chabad House - Jewish Student Center
Religious/Spiritual,Chabad House - Jewish Student Center
Service/Service Learning,Chabad House - Jewish Student Center
Social Fraternity/Sorority,Chabad House - Jewish Student Center
Activism,Chaldean American Student Association
Cultural/Ethnic,Chaldean American Student Association
Health & Wellness,Chaldean American Student Association
Service/Service Learning,Chaldean American Student Association
Health & Wellness,"Changing Health, Attitudes, and Actions to Recreate Girls"
Activism,Chapter of the Scientista Foundation 
Academic/Honor Societies,Chapter of the Scientista Foundation 
Science/Technology/Engineering,Chapter of the Scientista Foundation 
Graduate/Professional,Chapter of the Scientista Foundation 
Health & Wellness,Chapter of the Scientista Foundation 
Media & Creative Writing,Chapter of the Scientista Foundation 
Service/Service Learning,Chapter of the Scientista Foundation 
Gender/Sexuality,Chapter of the Scientista Foundation 
Science/Technology/Engineering,Chemical Engineering Car Team
Graduate/Professional,Chemical Engineering Graduate Society
Graduate/Professional,Chemistry Graduate Student Council
Science/Technology/Engineering,Chemistry Symposium Organizing Committee
Graduate/Professional,Chemistry Symposium Organizing Committee
Academic/Honor Societies,Chi Epsilon
Cultural/Ethnic,"CHI ETA PHI SORORITY, INCORPORATED LAMBDA CHI ALPHA BETA CHAPTER "
Health & Wellness,"CHI ETA PHI SORORITY, INCORPORATED LAMBDA CHI ALPHA BETA CHAPTER "
Service/Service Learning,"CHI ETA PHI SORORITY, INCORPORATED LAMBDA CHI ALPHA BETA CHAPTER "
Social Fraternity/Sorority,"CHI ETA PHI SORORITY, INCORPORATED LAMBDA CHI ALPHA BETA CHAPTER "
Social Fraternity/Sorority,Chi Omega 
Activism,Child Welfare Student Association
Graduate/Professional,Child Welfare Student Association
Service/Service Learning,Child Welfare Student Association
Activism,China Blue Charity Fund
Cultural/Ethnic,China Blue Charity Fund
Service/Service Learning,China Blue Charity Fund
Activism,China Entrepreneur Network
Cultural/Ethnic,China Entrepreneur Network
Science/Technology/Engineering,China Entrepreneur Network
Graduate/Professional,China Entrepreneur Network
Service/Service Learning,China Entrepreneur Network
Cultural/Ethnic,Chinese Culture Salon Seminars
Graduate/Professional,Chinese Culture Salon Seminars
Academic/Honor Societies,Chinese Psychology Student Association of UM
Graduate/Professional,Chinese Psychology Student Association of UM
Health & Wellness,Chinese Psychology Student Association of UM
Creative & Performing Arts,Chinese Student Association
Cultural/Ethnic,Chinese Student Association
Service/Service Learning,Chinese Student Association
Sport Clubs & Recreation,Chinese Student Association
Cultural/Ethnic,Chinese Students and Scholars Association
Service/Service Learning,Chinese Students and Scholars Association
Cultural/Ethnic,Chinmaya Yuvakendra of Ann Arbor
Religious/Spiritual,Chinmaya Yuvakendra of Ann Arbor
Academic/Honor Societies,Choose Sleep Interest Group
Science/Technology/Engineering,Choose Sleep Interest Group
Graduate/Professional,Choose Sleep Interest Group
Activism,Choosing Wisely Chapter at the University of Michigan
Academic/Honor Societies,Choosing Wisely Chapter at the University of Michigan
Graduate/Professional,Choosing Wisely Chapter at the University of Michigan
Health & Wellness,Choosing Wisely Chapter at the University of Michigan
Religious/Spiritual,Christian Challenge
Graduate/Professional,Christian Legal Society
Religious/Spiritual,Christian Legal Society
Graduate/Professional,Christian Medical Association
Religious/Spiritual,Christian Medical Association
Religious/Spiritual,Christians on Campus
Activism,Circle K at the University of Michigan
Health & Wellness,Circle K at the University of Michigan
Service/Service Learning,Circle K at the University of Michigan
Environmental,Circle K at the University of Michigan
Activism,Citizens' Climate Lobby at the University of Michigan
Environmental,Citizens' Climate Lobby at the University of Michigan
Graduate/Professional,CLASP Graduate and Undergraduate Student Organization
Service/Service Learning,CLASP Graduate and Undergraduate Student Organization
Science/Technology/Engineering,Climate Blue
Governance,Climate Blue
Graduate/Professional,Climate Blue
Media & Creative Writing,Climate Blue
Environmental,Climate Blue
Activism,Cloth for Change
Creative & Performing Arts,Cloth for Change
Health & Wellness,Cloth for Change
Sport Clubs & Recreation,Club Golf at Michigan
Department,Club Sports Program - Department of Recreational Sports
Sport Clubs & Recreation,Club Tennis Team
Creative & Performing Arts,CMYK Design
Academic/Honor Societies,Cognitive Science Community
Science/Technology/Engineering,Cognitive Science Community
Graduate/Professional,Cognitive Science Community
Media & Creative Writing,Cognitive Science Community
Health & Wellness,Cognitive Strength Organization at the University of Michigan
Service/Service Learning,Cognitive Strength Organization at the University of Michigan
Activism,College Democrats at the University of Michigan
Governance,College Democrats at the University of Michigan
Activism,College Essay Revising Partnership
Academic/Honor Societies,College Essay Revising Partnership
Cultural/Ethnic,College Essay Revising Partnership
Media & Creative Writing,College Essay Revising Partnership
Service/Service Learning,College Essay Revising Partnership
Department,College of Engineering Student Affairs
Activism,College Republicans at the University of Michigan
Service/Service Learning,College Republicans at the University of Michigan
Religious/Spiritual,Collegians for Christ
Sport Clubs & Recreation,Collegiate Soccer Society
Activism,Color: Amplified
Creative & Performing Arts,Color: Amplified
Media & Creative Writing,Color: Amplified
Gender/Sexuality,Color: Amplified
Creative & Performing Arts,ComCo/UAC
Cultural/Ethnic,commUNITY
Graduate/Professional,commUNITY
Graduate/Professional,Community Consulting Club
Service/Service Learning,Community Consulting Club
Activism,Community for Survivors
Cultural/Ethnic,Community for Survivors
Health & Wellness,Community for Survivors
Gender/Sexuality,Community for Survivors
Activism,Community-Led Interpretation for Medical Equity
Health & Wellness,Community-Led Interpretation for Medical Equity
Service/Service Learning,Community-Led Interpretation for Medical Equity
Service/Service Learning,CommunitySafe
Academic/Honor Societies,Comparative Literature Intra-Student Faculty Forum
Graduate/Professional,Comparative Literature Intra-Student Faculty Forum
Activism,Compost Michigan
Graduate/Professional,Compost Michigan
Service/Service Learning,Compost Michigan
Environmental,Compost Michigan
Graduate/Professional,Computer Science and Engineering Graduate Student Organization
Health & Wellness,Computer Science and Engineering Graduate Student Wellness
Cultural/Ethnic,Computing for All
Activism,CONSIDER:
Media & Creative Writing,CONSIDER:
Graduate/Professional,Consulting Club at Ross
Graduate/Professional,Consumer Advocacy and Financial Regulation Organization
Cultural/Ethnic,Cooking Club at the University of Michigan
Health & Wellness,Cooking Club at the University of Michigan
Service/Service Learning,Cooking Club at the University of Michigan
Health & Wellness,COPE
Activism,"Corazones Unidos Siempre, Chi Upsilon Sigma, National Latin Sorority Incorporated"
Academic/Honor Societies,"Corazones Unidos Siempre, Chi Upsilon Sigma, National Latin Sorority Incorporated"
Cultural/Ethnic,"Corazones Unidos Siempre, Chi Upsilon Sigma, National Latin Sorority Incorporated"
Social Fraternity/Sorority,"Corazones Unidos Siempre, Chi Upsilon Sigma, National Latin Sorority Incorporated"
Activism,Cost Assistance for Resilient Engineers
Science/Technology/Engineering,Cost Assistance for Resilient Engineers
Health & Wellness,Cost Assistance for Resilient Engineers
Service/Service Learning,Cost Assistance for Resilient Engineers
Cultural/Ethnic,Couzens Active Multi Ethnic Organization (CAMEO)
Governance,Couzens Active Multi Ethnic Organization (CAMEO)
Health & Wellness,Couzens Active Multi Ethnic Organization (CAMEO)
Governance,Couzens Hall Council
Health & Wellness,Couzens Hall Council
Service/Service Learning,Couzens Hall Council
Creative & Performing Arts,Creatives of Color
Cultural/Ethnic,Creatives of Color
Health & Wellness,Creatives of Color
Media & Creative Writing,Creatives of Color
Academic/Honor Societies,Criminal Law Society
Graduate/Professional,Criminal Law Society
Service/Service Learning,Criminal Law Society
Gender/Sexuality,Criminal Law Society
Creative & Performing Arts,Crochet Connections
Service/Service Learning,Crochet Connections
Activism,Crohn's and Colitis Student Initiative
Graduate/Professional,Crohn's and Colitis Student Initiative
Health & Wellness,Crohn's and Colitis Student Initiative
Service/Service Learning,Crohn's and Colitis Student Initiative
Religious/Spiritual,Cru
Academic/Honor Societies,CS KickStart
Cultural/Ethnic,CS KickStart
Gender/Sexuality,CS KickStart
Cultural/Ethnic,Cuban Americans for Engagement
Science/Technology/Engineering,Cubing Club
Sport Clubs & Recreation,Cubing Club
Cultural/Ethnic,Cultural Heritage Law Society
Graduate/Professional,Cultural Heritage Law Society
Health & Wellness,CURE-Michigan 
Religious/Spiritual,CURE-Michigan 
Service/Service Learning,CURE-Michigan 
Activism,CURIS - Public Health Advocacy
Health & Wellness,CURIS - Public Health Advocacy
Service/Service Learning,CURIS - Public Health Advocacy
Cultural/Ethnic,Curl Talk @ Umich
Health & Wellness,Curl Talk @ Umich
Activism,Curriculum for Health Disparities and the Underserved
Cultural/Ethnic,Curriculum for Health Disparities and the Underserved
Graduate/Professional,Curriculum for Health Disparities and the Underserved
Health & Wellness,Curriculum for Health Disparities and the Underserved
Service/Service Learning,Curriculum for Health Disparities and the Underserved
