2018 SOC Code,2018 SOC Major Group,2018 SOC Minor Group,2018 SOC Title,2018 SOC Direct Match Title,Illustrative Example
13-1021,Business and Financial Operations Occupations,Business Operations Specialists,"Buyers and Purchasing Agents, Farm Products",Oyster Buyer,
13-1021,Business and Financial Operations Occupations,Business Operations Specialists,"Buyers and Purchasing Agents, Farm Products","Purchasing Agent, Cotton, Grain, Livestock, Other Farm Products",
13-1021,Business and Financial Operations Occupations,Business Operations Specialists,"Buyers and Purchasing Agents, Farm Products",Tobacco Buyer,
13-1022,Business and Financial Operations Occupations,Business Operations Specialists,"Wholesale and Retail Buyers, Except Farm Products",Gold Buyer,x
13-1022,Business and Financial Operations Occupations,Business Operations Specialists,"Wholesale and Retail Buyers, Except Farm Products",Merchandise Buyer,x
13-1022,Business and Financial Operations Occupations,Business Operations Specialists,"Wholesale and Retail Buyers, Except Farm Products",Retail Buyer,
13-1022,Business and Financial Operations Occupations,Business Operations Specialists,"Wholesale and Retail Buyers, Except Farm Products",Tie Buyer,
13-1022,Business and Financial Operations Occupations,Business Operations Specialists,"Wholesale and Retail Buyers, Except Farm Products",Wholesale Buyer,
13-1023,Business and Financial Operations Occupations,Business Operations Specialists,"Purchasing Agents, Except Wholesale, Retail, and Farm Products","Equipment, Supplies, and Tools Purchasing Agent",x
13-1023,Business and Financial Operations Occupations,Business Operations Specialists,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",Radio Time Buyer,x
13-1031,Business and Financial Operations Occupations,Business Operations Specialists,"Claims Adjusters, Examiners, and Investigators",Claims Analyst,
13-1031,Business and Financial Operations Occupations,Business Operations Specialists,"Claims Adjusters, Examiners, and Investigators",Fire Claims Adjuster,x
13-1031,Business and Financial Operations Occupations,Business Operations Specialists,"Claims Adjusters, Examiners, and Investigators",Health Claims Examiner,
13-1031,Business and Financial Operations Occupations,Business Operations Specialists,"Claims Adjusters, Examiners, and Investigators",Health Insurance Adjuster,x
13-1031,Business and Financial Operations Occupations,Business Operations Specialists,"Claims Adjusters, Examiners, and Investigators",Independent Insurance Adjuster,
13-1031,Business and Financial Operations Occupations,Business Operations Specialists,"Claims Adjusters, Examiners, and Investigators",Medical Claims Analyst,
13-1031,Business and Financial Operations Occupations,Business Operations Specialists,"Claims Adjusters, Examiners, and Investigators",Medical Claims Examiner,
13-1031,Business and Financial Operations Occupations,Business Operations Specialists,"Claims Adjusters, Examiners, and Investigators",Property and Casualty Insurance Claims Examiner,x
13-1031,Business and Financial Operations Occupations,Business Operations Specialists,"Claims Adjusters, Examiners, and Investigators",Property Damage Claims Adjustor,
13-1031,Business and Financial Operations Occupations,Business Operations Specialists,"Claims Adjusters, Examiners, and Investigators",Reinsurance Claims Analyst,
13-1031,Business and Financial Operations Occupations,Business Operations Specialists,"Claims Adjusters, Examiners, and Investigators",Workers Compensation Claims Adjuster,
13-1031,Business and Financial Operations Occupations,Business Operations Specialists,"Claims Adjusters, Examiners, and Investigators",Workers Compensation Claims Examiner,
13-1032,Business and Financial Operations Occupations,Business Operations Specialists,"Insurance Appraisers, Auto Damage",Auto Damage Appraiser,
13-1032,Business and Financial Operations Occupations,Business Operations Specialists,"Insurance Appraisers, Auto Damage",Auto Damage Insurance Appraiser,
13-1032,Business and Financial Operations Occupations,Business Operations Specialists,"Insurance Appraisers, Auto Damage",Automobile Damage Appraiser,x
13-1032,Business and Financial Operations Occupations,Business Operations Specialists,"Insurance Appraisers, Auto Damage",Vehicle Damage Appraiser,x
13-1041,Business and Financial Operations Occupations,Business Operations Specialists,Compliance Officers,Air Pollution Compliance Inspector,
13-1041,Business and Financial Operations Occupations,Business Operations Specialists,Compliance Officers,Compliance Investigator,
13-1041,Business and Financial Operations Occupations,Business Operations Specialists,Compliance Officers,Driver's License Examiner,x
13-1041,Business and Financial Operations Occupations,Business Operations Specialists,Compliance Officers,EEO Officer,
13-1041,Business and Financial Operations Occupations,Business Operations Specialists,Compliance Officers,Environmental Compliance Inspector,x
13-1041,Business and Financial Operations Occupations,Business Operations Specialists,Compliance Officers,Equal Employment Opportunity Investigator,
13-1041,Business and Financial Operations Occupations,Business Operations Specialists,Compliance Officers,Equal Employment Opportunity Officer,x
13-1041,Business and Financial Operations Occupations,Business Operations Specialists,Compliance Officers,Equal Employment Opportunity Representative,
13-1041,Business and Financial Operations Occupations,Business Operations Specialists,Compliance Officers,Immigration Investigator,
13-1041,Business and Financial Operations Occupations,Business Operations Specialists,Compliance Officers,Inspector of Weights and Measures,
13-1041,Business and Financial Operations Occupations,Business Operations Specialists,Compliance Officers,License Inspector,
13-1041,Business and Financial Operations Occupations,Business Operations Specialists,Compliance Officers,Mortician Investigator,
13-1041,Business and Financial Operations Occupations,Business Operations Specialists,Compliance Officers,Wage and Hour Investigator,
13-1051,Business and Financial Operations Occupations,Business Operations Specialists,Cost Estimators,Construction Estimator,
13-1051,Business and Financial Operations Occupations,Business Operations Specialists,Cost Estimators,Construction Job Cost Estimator,x
13-1051,Business and Financial Operations Occupations,Business Operations Specialists,Cost Estimators,Crating and Moving Estimator,x
13-1051,Business and Financial Operations Occupations,Business Operations Specialists,Cost Estimators,Electrical Estimator,
13-1051,Business and Financial Operations Occupations,Business Operations Specialists,Cost Estimators,Job Estimator,
13-1051,Business and Financial Operations Occupations,Business Operations Specialists,Cost Estimators,Production Cost Estimator,x
13-1071,Business and Financial Operations Occupations,Business Operations Specialists,Human Resources Specialists,Corporate Recruiter,
13-1071,Business and Financial Operations Occupations,Business Operations Specialists,Human Resources Specialists,Credentialing Coordinator,
13-1071,Business and Financial Operations Occupations,Business Operations Specialists,Human Resources Specialists,Employee Placement Specialist,
13-1071,Business and Financial Operations Occupations,Business Operations Specialists,Human Resources Specialists,Human Resources Generalist,x
13-1071,Business and Financial Operations Occupations,Business Operations Specialists,Human Resources Specialists,Job Placement Officer,
13-1071,Business and Financial Operations Occupations,Business Operations Specialists,Human Resources Specialists,Job Placement Specialist,
13-1071,Business and Financial Operations Occupations,Business Operations Specialists,Human Resources Specialists,Job Recruiter,
